CALLS_OI,CALLS_CHNG_OI,CALLS_VOLUME,CALLS_IV,CALLS_LTP,CALLS_CHNG,CALLS_BID_QTY,CALLS_BID,CALLS_ASK,CALLS_ASK_QTY,STRIKE,PUTS_BID_QTY,PUTS_BID,PUTS_ASK,PUTS_ASK_QTY,PUTS_CHNG,PUTS_LTP,PUTS_IV,PUTS_VOLUME,PUTS_CHNG_OI,PUTS_OI
13,-1,1,23.88,"1,319.50",36.50,650,"1,263.85","1,328.35",130,"24,400.00","1,430",3.15,3.30,845,-0.65,3.15,18.72,"1,46,182","16,600","23,433"
5,1,1,26.71,"1,282.95",12.85,650,"1,194.35","1,291.80",130,"24,450.00","2,600",3.40,3.55,845,-0.75,3.30,18.21,"73,943","3,189","6,136"
"2,089",978,"19,906",7.80,413.10,-65.60,195,411.40,412.90,585,"25,300.00",195,23.45,23.60,650,-0.95,23.50,11.07,"8,65,660","25,037","56,914"
886,552,"11,028",7.97,367.40,-65.45,65,367.70,369.40,260,"25,350.00",195,29.15,29.25,"3,380",-0.35,29.25,10.87,"6,35,038","15,019","27,716"
"2,996",497,"53,148",8.47,326.00,-63.00,130,324.60,325.85,195,"25,400.00",780,36.20,36.40,715,0.65,36.10,10.65,"12,02,866","22,858","65,904"
"1,410",305,"31,889",8.45,283.70,-60.90,130,283.90,284.95,325,"25,450.00",520,45.15,45.40,325,2.90,45.40,10.52,"9,47,345","3,652","29,167"
"13,254","1,463","3,03,021",8.61,245.45,-61.80,130,245.40,246.00,"1,365","25,500.00",780,56.70,56.85,845,4.10,56.65,10.40,"21,15,396","24,120","73,637"
"4,796","2,886","1,93,845",8.70,209.60,-57.80,65,209.50,210.00,260,"25,550.00","1,235",70.45,70.60,"1,755",6.85,70.45,10.30,"14,17,574","6,591","26,742"
"29,640","5,744","11,00,798",8.74,176.25,-56.30,130,176.20,176.75,715,"25,600.00","1,105",87.60,88.00,975,10.30,88.00,10.31,"32,17,130","26,321","70,297"
"42,330","31,046","13,83,365",8.78,146.30,-53.45,455,146.35,146.75,910,"25,650.00","1,300",107.60,107.95,390,14.10,108.00,10.29,"29,35,470","20,848","38,863"
"95,952","44,731","39,62,091",8.85,120.10,-49.10,65,120.15,120.55,260,"25,700.00",130,130.80,131.20,130,17.80,131.20,10.29,"50,26,342","16,033","67,371"
"60,780","33,695","29,51,107",8.94,97.65,-43.35,65,97.65,97.95,260,"25,750.00",65,158.05,158.45,455,22.80,158.00,10.34,"23,86,526","4,342","29,609"
"1,33,186","45,785","36,90,808",9.05,78.60,-37.85,455,78.50,78.85,390,"25,800.00",780,188.65,189.00,65,26.80,188.60,10.47,"19,65,778","5,914","50,122"
"45,414","21,365","17,71,038",9.16,62.70,-32.80,455,62.45,62.70,"1,105","25,850.00",130,222.45,223.20,195,33.65,223.15,10.71,"4,54,675",-133,"8,916"
"82,251","15,517","21,75,807",9.25,49.25,-27.30,780,49.20,49.45,780,"25,900.00",260,258.40,259.25,65,38.30,259.05,10.86,"4,49,468","1,820","18,986"
"43,767","20,633","11,03,338",9.42,39.00,-23.40,585,38.75,39.00,"9,100","25,950.00",520,298.20,299.25,520,41.15,298.35,11.14,"83,593","-1,024","3,216"
"1,96,390","86,727","25,01,347",9.58,30.65,-18.85,520,30.65,30.80,"1,105","26,000.00",715,340.00,340.80,130,46.65,340.80,11.56,"1,94,345",-555,"34,007"
"42,595","17,761","8,29,476",9.75,24.10,-15.10,130,23.95,24.05,130,"26,050.00",260,382.70,384.00,130,50.20,383.60,11.89,"24,201",-130,"3,965"
"73,587","20,821","10,69,306",9.91,18.75,-12.40,"2,470",18.70,18.80,195,"26,100.00",260,427.25,428.95,455,55.00,429.00,12.40,"24,473",42,"10,872"
"38,547","11,448","6,12,792",10.09,14.65,-10.50,325,14.65,14.75,195,"26,150.00",260,472.60,475.50,260,58.85,476.45,13.08,"4,791",211,"2,154"
"1,07,787","38,252","10,65,207",10.31,11.65,-8.35,"2,015",11.65,11.75,585,"26,200.00",65,521.00,522.00,65,59.75,522.75,13.55,"15,356",-992,"14,926"
"48,953","29,689","6,24,750",10.56,9.35,-6.35,"1,170",9.25,9.35,"1,105","26,250.00",260,567.40,570.45,260,59.50,568.00,13.78,"1,635",26,"1,517"
"79,805","34,547","8,09,953",10.84,7.65,-5.45,65,7.60,7.65,"2,210","26,300.00",260,615.20,617.75,260,59.50,615.50,14.27,"5,503",-426,"6,693"
"38,728","17,964","4,44,256",11.11,6.25,-4.30,195,6.20,6.25,715,"26,350.00",260,663.80,666.70,260,61.15,667.05,15.39,708,81,849
"93,488","55,454","7,34,769",11.44,5.30,-3.45,325,5.25,5.30,"2,795","26,400.00",260,712.50,716.55,260,60.40,711.80,15.32,"1,321",-57,"2,555"
"26,896","13,572","3,68,848",11.72,4.40,-2.90,325,4.40,4.50,975,"26,450.00",260,759.65,775.60,"1,300",60.40,765.65,16.85,267,9,261
"1,21,833","52,190","8,04,668",11.97,3.60,-2.75,"2,080",3.55,3.60,65,"26,500.00",390,810.45,813.90,260,63.85,811.65,16.92,"1,835",195,"3,100"
"20,235","7,233","3,85,946",12.33,3.15,-2.15,975,3.10,3.15,"1,040","26,550.00","1,300",834.10,871.85,"1,040",70.70,873.30,19.86,103,-3,185
"74,795","40,991","7,07,888",12.71,2.80,-1.75,"2,860",2.70,2.80,"1,105","26,600.00",260,908.55,914.10,260,62.40,911.00,18.38,320,-,"1,093"
"14,504","5,233","2,86,714",13.05,2.45,-1.50,"1,495",2.35,2.45,"1,105","26,650.00",520,955.35,968.35,780,4.90,979.90,22.66,26,-1,20
"54,553","11,287","4,94,968",13.30,2.05,-1.45,"3,445",2.00,2.05,520,"26,700.00",260,"1,007.45","1,013.45",260,56.50,"1,003.50",18.06,511,-179,894
"16,296","7,931","2,01,504",13.77,1.95,-1.25,"1,170",1.90,1.95,390,"26,750.00",390,"1,007.80","1,107.45",65,-,941.00,-,-,-,10
"52,357","15,406","3,67,691",14.12,1.75,-1.05,520,1.65,1.75,845,"26,800.00",195,"1,106.40","1,113.30",65,60.90,"1,110.00",21.24,118,-25,"1,646"
"9,364","1,765","82,734",14.56,1.65,-0.85,130,1.55,1.65,"1,755","26,850.00",65,"1,154.35","1,166.00",130,167.00,"1,180.75",26.17,6,4,10
"42,112","17,031","2,29,469",14.99,1.55,-0.75,"12,350",1.55,1.65,"4,745","26,900.00",130,"1,206.20","1,214.35",65,5.50,"1,210.00",22.74,47,24,41
"12,039","5,328","88,463",15.46,1.50,-0.65,"2,470",1.35,1.50,"88,790","26,950.00",390,"1,205.90","1,309.00",65,-,"1,180.70",-,-,-,3
"1,46,518","40,149","5,25,936",15.85,1.40,-0.70,"19,890",1.35,1.40,"6,175","27,000.00",65,"1,305.55","1,312.75",65,64.25,"1,306.80",23.36,858,-138,"1,682"
"5,832","2,950","43,486",16.16,1.25,-0.65,"38,805",1.20,1.25,"5,915","27,050.00",390,"1,307.60","1,411.05",65,-4.50,"1,283.75",-,-,-,6
"35,181","19,210","1,46,678",16.43,1.10,-0.60,"1,07,770",1.10,1.15,"45,760","27,100.00",130,"1,403.05","1,454.80",65,-17.55,"1,321.30",-,4,-1,43
"5,336","3,129","23,445",16.85,1.05,-0.60,"2,470",1.05,1.10,"6,955","27,150.00",130,"1,453.35","1,504.30",390,37.10,"1,446.60",21.65,3,-1,2
"38,325","13,446","1,27,089",17.44,1.10,-0.45,"1,105",1.05,1.10,"1,820","27,200.00",390,"1,457.05","1,555.90",65,1.40,"1,444.70",-,-,-,141
"2,915",-186,"19,703",17.75,1.00,-0.45,"17,355",0.95,1.00,"10,595","27,250.00",390,"1,506.25","1,610.55",390,-,"1,505.95",-,-,-,2
"31,825","-1,054","1,25,023",18.25,1.00,-0.30,"53,235",0.95,1.00,"13,260","27,300.00",390,"1,556.50","1,655.40",390,-,"1,579.80",-,-,-,4
"1,937",186,"15,467",18.53,0.90,-0.40,"8,450",0.90,0.95,"3,250","27,350.00",390,"1,611.35","1,707.60",65,3.20,"1,592.95",-,-,-,2
"24,161","4,074","62,755",18.90,0.85,-0.40,"1,09,395",0.80,0.85,"3,22,010","27,400.00",390,"1,655.90","1,756.15",65,4.10,"1,659.60",-,-,-,14
