,CALLS_OI,CALLS_CHNG_OI,CALLS_VOLUME,CALLS_IV,CALLS_LTP,CALLS_CHNG,CALLS_BID_QTY,CALLS_BID,CALLS_ASK,CALLS_ASK_QTY,STRIKE,PUTS_BID_QTY,PUTS_BID,PUTS_ASK,PUTS_ASK_QTY,PUTS_CHNG,PUTS_LTP,PUTS_IV,PUTS_VOLUME,PUTS_CHNG_OI,PUTS_OI,CALLS_DELTA,CALLS_GAMMA,CALLS_VEGA,PUTS_DELTA,PUTS_GAMMA,PUTS_VEGA
9,13,-1,1,23.88,"1,319.50",36.50,650,"1,263.85","1,328.35",130,24400.0,"1,430",3.15,3.30,845,-0.65,3.15,18.72,"1,46,182","16,600","23,433",0.9610961296563361,0.00011774583750203119,252.4276685096038,-0.012455331333799058,5.7511726842924456e-05,96.65388669681398
10,5,1,1,26.71,"1,282.95",12.85,650,"1,194.35","1,291.80",130,24450.0,"2,600",3.40,3.55,845,-0.75,3.30,18.21,"73,943","3,189","6,136",0.9350316652620705,0.00015837343859812658,379.7635729564847,-0.013589230536215857,6.374777123590892e-05,104.21542927314786
27,"2,089",978,"19,906",7.8,413.10,-65.60,195,411.40,412.90,585,25300.0,195,23.45,23.60,650,-0.95,23.50,11.07,"8,65,660","25,037","56,914",0.9182405928216922,0.0006466535970068752,452.8176753984274,-0.1623083693756021,0.0007404501785933323,735.8690437678346
28,886,552,"11,028",7.97,367.40,-65.45,65,367.70,369.40,260,25350.0,195,29.15,29.25,"3,380",-0.35,29.25,10.87,"6,35,038","15,019","27,716",0.8753719965097775,0.0008602347955440858,615.5061507662934,-0.19829801338773256,0.0008551750616992079,834.5294019302117
29,"2,996",497,"53,148",8.47,326.00,-63.00,130,324.60,325.85,195,25400.0,780,36.20,36.40,715,0.65,36.10,10.65,"12,02,866","22,858","65,904",0.8121767434081721,0.0010617178071893906,807.3271954182661,-0.23981805507665976,0.0009738128297996508,931.069650118406
30,"1,410",305,"31,889",8.45,283.70,-60.90,130,283.90,284.95,325,25450.0,520,45.15,45.40,325,2.90,45.40,10.52,"9,47,345","3,652","29,167",0.7546434395448055,0.0012426192638390358,942.6530162100959,-0.2891902710005201,0.0010845452608021161,1024.2842416294206
31,"13,254","1,463","3,03,021",8.61,245.45,-61.80,130,245.40,246.00,"1,365",25500.0,780,56.70,56.85,845,4.10,56.65,10.4,"21,15,396","24,120","73,637",0.685021407090646,0.0013769698070280317,1064.3504288820272,-0.34429146474215944,0.001181460470785573,1103.0865910950606
32,"4,796","2,886","1,93,845",8.7,209.60,-57.80,65,209.50,210.00,260,25550.0,"1,235",70.45,70.60,"1,755",6.85,70.45,10.3,"14,17,574","6,591","26,742",0.6119993374135183,0.0014697116877669424,1147.9116698282198,-0.40436621802459816,0.00125536732466175,1160.8206243658003
33,"29,640","5,744","11,00,798",8.74,176.25,-56.30,130,176.20,176.75,715,25600.0,"1,105",87.60,88.00,975,10.30,88.00,10.31,"32,17,130","26,321","70,297",0.536714155434867,0.0015169658503971669,1190.2667650849794,-0.46818911540606367,0.0012873281748193414,1191.5300792078644
34,"42,330","31,046","13,83,365",8.78,146.30,-53.45,455,146.35,146.75,910,25650.0,"1,300",107.60,107.95,390,14.10,108.00,10.29,"29,35,470","20,848","38,863",0.4609298270745358,0.0015092029218897254,1189.5952564508395,-0.5327002819271138,0.0012895967790236805,1191.3143826149137
35,"95,952","44,731","39,62,091",8.85,120.10,-49.10,65,120.15,120.55,260,25700.0,130,130.80,131.20,130,17.80,131.20,10.29,"50,26,342","16,033","67,371",0.38772911718702774,0.001444509580736202,1147.6798794050417,-0.5962908210635589,0.0012560696553319806,1160.3424188884921
36,"60,780","33,695","29,51,107",8.94,97.65,-43.35,65,97.65,97.95,260,25750.0,65,158.05,158.45,455,22.80,158.00,10.34,"23,86,526","4,342","29,609",0.31988496467619354,0.0013348405388817618,1071.3317526466121,-0.6565716836169684,0.0011871962903525094,1102.047059608445
37,"1,33,186","45,785","36,90,808",9.05,78.60,-37.85,455,78.50,78.85,390,25800.0,780,188.65,189.00,65,26.80,188.60,10.47,"19,65,778","5,914","50,122",0.2593520265194581,0.0011946695190490615,970.6293801145389,-0.7109868071977683,0.0010894107093293247,1023.9892383314675
38,"45,414","21,365","17,71,038",9.16,62.70,-32.80,455,62.45,62.70,"1,105",25850.0,130,222.45,223.20,195,33.65,223.15,10.71,"4,54,675",-133,"8,916",0.20666218408303139,0.0010402008559326258,855.4009947626151,-0.757405652223262,0.0009744344517029676,936.9127986151901
39,"82,251","15,517","21,75,807",9.25,49.25,-27.30,780,49.20,49.45,780,25900.0,260,258.40,259.25,65,38.30,259.05,10.86,"4,49,468","1,820","18,986",0.16145847910413635,0.0008831128967593886,733.3563053681033,-0.7996001500102349,0.0008614139132765399,839.8442976911447
40,"43,767","20,633","11,03,338",9.42,39.00,-23.40,585,38.75,39.00,"9,100",25950.0,520,298.20,299.25,520,41.15,298.35,11.14,"83,593","-1,024","3,216",0.12602705189182467,0.0007335149429524317,620.3216500527861,-0.8331461179358866,0.0007490862849385559,749.1591823216818
41,"1,96,390","86,727","25,01,347",9.58,30.65,-18.85,520,30.65,30.80,"1,105",26000.0,715,340.00,340.80,130,46.65,340.80,11.56,"1,94,345",-555,"34,007",0.09718909936902947,0.000598776159324392,514.9761070360144,-0.8584407372946301,0.0006474515048633607,671.9270874941141
42,"42,595","17,761","8,29,476",9.75,24.10,-15.10,130,23.95,24.05,130,26050.0,260,382.70,384.00,130,50.20,383.60,11.89,"24,201",-130,"3,965",0.07447219213538671,0.00048195109627183913,421.85641601560906,-0.8812436260466043,0.0005573974510235441,594.9821044860508
43,"73,587","20,821","10,69,306",9.91,18.75,-12.40,"2,470",18.70,18.80,195,26100.0,260,427.25,428.95,455,55.00,429.00,12.4,"24,473",42,"10,872",0.05647118546582146,0.00038252739156423266,340.3245383198845,-0.8969180676326889,0.00048291796090231645,537.5911540035728
44,"38,547","11,448","6,12,792",10.09,14.65,-10.50,325,14.65,14.75,195,26150.0,260,472.60,475.50,260,58.85,476.45,13.08,"4,791",211,"2,154",0.042836112237829946,0.0003013115945185356,272.9380475108499,-0.9070330162594932,0.0004244386848477665,498.4019980060227
45,"1,07,787","38,252","10,65,207",10.31,11.65,-8.35,"2,015",11.65,11.75,585,26200.0,65,521.00,522.00,65,59.75,522.75,13.55,"15,356",-992,"14,926",0.03288004921913346,0.0002376046106380832,219.9229738551167,-0.9187530536947999,0.0003704825298364897,450.67565571395164
